company_code,avg_daily_high_low_range,avg_daily_volume,avg_trading_capital,instrument_token,tradingsymbol,name,exchange
2955,6.96127308680475724790,22353730.800000000000,12111357243.77500000,756481,KALYANKJIL,KALYAN JEWELLERS IND,NSE
19585,5.24230377747259599650,2147206.500000000000,11693857868.80500000,5013761,BSE,BSE,NSE
10604,3.01386922348941073060,6911231.200000000000,11476234362.46000000,2714625,BHARTIARTL,BHARTI AIRTEL,NSE
5097,4.15256276148238892340,50692164.700000000000,11437428969.97700000,1304833,ZOMATO,ZOMATO,NSE
509,5.70257852059927256650,5117698.200000000000,11259823337.91000000,130305,MAZDOCK,MAZAGON DOCK SHIPBUIL,NSE
1964,5.33642225965573354940,2071205.300000000000,11258183837.64000000,502785,TRENT,TRENT,NSE
317,2.98120257083304921080,1270851.200000000000,10553503346.25000000,81153,BAJFINANCE,BAJAJ FINANCE,NSE
2031,3.45583216461319929840,3229673.500000000000,10045340006.32500000,519937,M&M,MAHINDRA & MAHINDRA,NSE
2303,4.60612898018562377920,2113578.800000000000,7656677568.89000000,589569,HAL,HINDUSTAN AERONAUTICS,NSE
3456,2.80753934343058524420,10738654.600000000000,7350599971.62000000,884737,TATAMOTORS,TATA MOTORS,NSE
383,4.07593067906503080400,25048252.800000000000,6793005065.09500000,98049,BEL,BHARAT ELECTRONICS,NSE
25,4.68739875447310113180,2534049.000000000000,5765537464.89000000,6401,ADANIENT,ADANI ENTERPRISES,NSE
14977,4.17625059668961835900,17752911.600000000000,5019129731.56000000,3834113,POWERGRID,POWER GRID CORP.,NSE
3499,4.03095302354099409420,36237873.400000000000,4851962908.58000000,895745,TATASTEEL,TATA STEEL,NSE
1181,10.48632289491446858680,871234.200000000000,4842689529.54000000,302337,GODFRYPHLP,GODFREY PHILLIPS INDIA LT,NSE
15355,5.17746834501198849740,11423306.700000000000,4791763268.85500000,3930881,RECLTD,REC,NSE
14299,4.80676064084647797360,12125331.500000000000,4732216183.61500000,3660545,PFC,POWER FIN CORP,NSE
910,3.13660928389675918360,953217.600000000000,4722593602.70000000,232961,EICHERMOT,EICHER MOTORS,NSE
5258,3.13919604632619305040,4388051.000000000000,4593815726.12000000,1346049,INDUSINDBK,INDUSIND BANK,NSE
15083,3.87891081905474863590,3986334.500000000000,4487259831.48000000,3861249,ADANIPORTS,ADANI PORT & SEZ,NSE
21174,4.23573190161010035100,3507496.100000000000,4468524619.52500000,5420545,CDSL,CENTRAL DEPO SER (I),NSE
1185,6.04897572335992553140,682859.400000000000,4463623884.46500000,303361,AMBER,AMBER ENTERPRISES (I),NSE
18921,4.80142509249144936660,8161738.600000000000,4369002763.57500000,4843777,VBL,VARUN BEVERAGES,NSE
11630,2.79141638022185092640,12514178.400000000000,3948855989.82000000,2977281,NTPC,NTPC,NSE
3063,3.73918945106188183690,9171495.300000000000,3948534435.93500000,784129,VEDL,VEDANTA,NSE
9552,5.37338565393119604480,10062777.500000000000,3929346969.60500000,2445313,RVNL,RAIL VIKAS NIGAM,NSE
16675,2.92615015688400820560,2127223.400000000000,3857056114.29000000,4268801,BAJAJFINSV,BAJAJ FINSERV,NSE
3150,4.95890926982094703120,726488.700000000000,3846097786.63000000,806401,SIEMENS,SIEMENS,NSE
14366,6.29896653229114143000,429201840.90000000,3833518514.53300000,3677697,IDEA,VODAFONE IDEA,NSE
4306,4.93984188794416434860,6740329.000000000000,3755444775.53000000,1102337,SHRIRAMFIN,SHRIRAM FINANCE,NSE
14947,6.18633248728548006610,5256807.000000000000,3562001743.84500000,3826433,MOTILALOFS,MOTILAL OSWAL FIN,NSE
13966,8.41068431599335584360,7080427.000000000000,3508632826.85000000,3575297,HBLPOWER,HBL POWER SYSTEMS,NSE
1363,3.02563507369163058980,5678500.600000000000,3415560017.95000000,348929,HINDALCO,HINDALCO  INDUSTRIES,NSE
10940,3.69810082521644540200,550557.900000000000,3303426347.02500000,2800641,DIVISLAB,DIVI S LABORATORIES,NSE
13,4.50412763098726145830,581911.800000000000,3193845307.95000000,3329,ABB,ABB INDIA,NSE
212,4.79514316956332917200,14609233.800000000000,3171143691.34400000,54273,ASHOKLEY,ASHOK LEYLAND,NSE
1250,5.30249253089388975220,15584162.800000000000,3169006980.94500000,320001,CASTROLIND,CASTROL INDIA,NSE
438,4.32540743136281882920,15349901.500000000000,3090450647.76200000,112129,BHEL,BHEL,NSE
3718,5.18682606739862004920,2270037.900000000000,3085845751.95500000,951809,VOLTAS,VOLTAS,NSE
23650,4.38535606644560311700,1347739.000000000000,3073746181.39000000,6054401,MUTHOOTFIN,MUTHOOT FINANCE,NSE
14732,4.51588969338316159020,4459368.600000000000,3067705087.51000000,3771393,DLF,DLF,NSE
14255,5.62948533558741230650,12876672.100000000000,3048877476.10100000,3649281,REDINGTON,REDINGTON,NSE
1901,4.42379121375666787160,1057227.300000000000,3028081580.84000000,486657,CUMMINSIND,CUMMINS INDIA,NSE
17875,5.59183602986768840600,1359509.700000000000,2935385242.07500000,4576001,GODREJPROP,GODREJ PROPERTIES,NSE
4204,5.02819897924320142960,22798568.200000000000,2934928630.94600000,1076225,MOTHERSON,SAMVRDHNA MTHRSN INTL,NSE
6733,4.05207433594318418800,3452346.200000000000,2851586029.98000000,1723649,JINDALSTEL,JINDAL STEEL & POWER,NSE
17971,3.96242070041747865400,3329395.000000000000,2815840937.17000000,4600577,SBICARD,SBI CARDS & PAY SER,NSE
40,8.29455369329083905360,3585132.500000000000,2784672073.20000000,10241,AEGISLOG,AEGIS LOGISTICS,NSE
17388,3.60483846087307558200,5554104.200000000000,2761510954.25000000,4451329,ADANIPOWER,ADANI POWER,NSE
324,5.06032550240139897430,1164002.900000000000,2757437133.65000000,82945,ANGELONE,ANGEL ONE,NSE
17869,4.66371073109259472950,5845750.400000000000,2752586065.65500000,4574465,JSWENERGY,JSW ENERGY,NSE
3563,5.38023187932778574060,2948474.000000000000,2716651186.12000000,912129,ADANIGREEN,ADANI GREEN ENERGY,NSE
2319,6.64340834267901482610,12744659.000000000000,2686981614.23500000,593665,NCC,NCC,NSE
19061,6.67282551028437130260,14425894.400000000000,2682280565.03400000,4879617,MANAPPURAM,MANAPPURAM FINANCE,NSE
10440,4.46409274694921335100,1286679.900000000000,2670234095.42500000,2672641,LUPIN,LUPIN,NSE
4717,3.33957977640871515620,16364941.600000000000,2656860991.77800000,1207553,GAIL,GAIL (INDIA),NSE
2029,4.58280248640101987840,20926006.200000000000,2632486909.27000000,519425,IRFC,INDIAN RAILWAY FIN CORP L,NSE
12018,4.86992865447523539370,48156814.800000000000,2602713753.89900000,3076609,SUZLON,SUZLON ENERGY,NSE
19943,5.51878489449237570680,1291427.600000000000,2491251988.71000000,5105409,DEEPAKNTR,DEEPAK NITRITE,NSE
6364,4.87593484857628703760,13234069.000000000000,2449969405.58100000,1629185,NATIONALUM,NATIONAL ALUMINIUM CO,NSE
2963,4.78843533009150308630,22741856.500000000000,2417819809.38600000,758529,SAIL,STEEL AUTHORITY OF INDIA,NSE
1348,3.19954875854560224200,605006.400000000000,2416938445.72000000,345089,HEROMOTOCO,HERO MOTOCORP,NSE
342,4.92732733243534406290,652321.800000000000,2319714202.98500000,87553,CAMS,COMPUTER AGE MNGT SER,NSE
20825,5.11605283464654137420,11186156.700000000000,2220335775.26200000,5331201,HUDCO,HSG & URBAN DEV CORPN,NSE
3426,3.83724461173201438700,6394711.800000000000,2218200767.82000000,877057,TATAPOWER,TATA POWER CO,NSE
19913,3.43059717593721092400,576127.600000000000,2208362326.25000000,5097729,DMART,AVENUE SUPERMARTS,NSE
22377,4.25281821203294905540,1907928.000000000000,2201995775.18000000,5728513,MAXHEALTH,MAX HEALTHCARE INS,NSE
1038,9.17835876859555433520,2223055.400000000000,2174455703.70000000,265729,FINCABLES,FINOLEX CABLES,NSE
1235,6.30742519298575110690,7662052.000000000000,2158389828.48500000,316161,GREAVESCOT,GREAVES COTTON,NSE
685,4.30337337093964967200,1575555.800000000000,2150463843.30000000,175361,CHOLAFIN,CHOLAMANDALAM IN & FIN CO,NSE
29135,3.90012480269400764630,6025332.400000000000,2129449075.64000000,7458561,INDUSTOWER,INDUS TOWERS,NSE
3918,5.11133590412778713390,2072106.500000000000,2065901931.95000000,1003009,NATCOPHARM,NATCO PHARMA,NSE
10794,4.06789449519963872740,22654682.000000000000,2016729173.03000000,2763265,CANBK,CANARA BANK,NSE
3220,4.12369166551358213140,1664557.000000000000,2012706748.70000000,824321,LODHA,MACROTECH DEVELOPERS,NSE
13310,5.07022299680133222160,577549.200000000000,2010039620.06000000,3407361,KEI,KEI INDUSTRIES,NSE
1076,5.39015893056545408950,2240043.400000000000,2005301650.92500000,275457,ZENSARTECH,ZENSAR TECHNOLOGIES,NSE
4986,6.03226681880801349720,11809382.400000000000,2000961226.07400000,1276417,IRCON,IRCON INTERNATIONAL,NSE
10666,3.59331442592607243220,20671590.800000000000,1967410336.52800000,2730497,PNB,PUNJAB NATIONAL BANK,NSE
7852,5.05088732477630843320,11490485.800000000000,1951868510.45400000,2010113,INOXWIND,INOX WIND,NSE
15414,5.07090489600282813640,2194312.600000000000,1923615297.64000000,3945985,TITAGARH,TITAGARH RAIL SYSTEMS,NSE
19234,6.16667484504664637300,3270529.400000000000,1896693936.08000000,4923905,LAURUSLABS,LAURUS LABS,NSE
2475,3.16501295630017528480,7684936.800000000000,1818073964.32000000,633601,ONGC,OIL AND NATURAL GAS CORP.,NSE
17029,3.12143892382019084870,969087.200000000000,1760720657.82500000,4359425,PATANJALI,PATANJALI FOODS,NSE
760,4.29100734658901502540,2957958.700000000000,1751306012.85500000,194561,CGPOWER,CG POWER AND IND SOL,NSE
14304,4.93614464246580222820,4952288.600000000000,1735868268.09500000,3661825,FSL,FIRSTSOURCE SOLU.,NSE
20224,5.95877557644567937230,5016132.100000000000,1708435201.13000000,5177345,JWL,JUPITER WAGONS,NSE
11287,3.85164030922474731960,2739957.200000000000,1705052477.71000000,2889473,UPL,UPL,NSE
18096,4.94434931043985906440,2472688.800000000000,1687846027.02000000,4632577,JUBLFOOD,JUBILANT FOODWORKS,NSE
422,3.29482225378881015690,1490674.700000000000,1670860254.25000000,108033,BHARATFORG,BHARAT FORGE,NSE
1406,4.04422611078572470400,5199170.600000000000,1662255263.17000000,359937,HINDPETRO,HINDUSTAN PETROLEUM CORP,NSE
13620,7.23429764490962460520,2793655.800000000000,1659568801.94000000,3486721,ANANTRAJ,ANANT RAJ,NSE
526,3.04112374509838530880,6432118.600000000000,1645737152.69000000,134657,BPCL,BHARAT PETROLEUM CORP  LT,NSE
2144,6.16734649792233508200,1399078.900000000000,1640383148.28000000,548865,BDL,BHARAT DYNAMICS,NSE
20302,4.23749634817317784920,1256257.800000000000,1636301919.45000000,5197313,PRESTIGE,PRESTIGE ESTATE,NSE
1624,3.14915516048736841120,12918894.400000000000,1554369244.42200000,415745,IOC,INDIAN OIL CORP,NSE
4684,4.32895186616071481200,2984049.700000000000,1515142796.97500000,1199105,SONACOMS,SONA BLW PRECISION FRGS L,NSE
10753,3.80773823024592392270,13129378.700000000000,1514256078.00100000,2752769,UNIONBANK,UNION BANK OF INDIA,NSE
3273,3.45835486681294816580,537725.400000000000,1513581870.05000000,837889,SRF,SRF,NSE
1512,3.90468971929363203540,2042929.000000000000,1508573863.60000000,387073,INDHOTEL,THE INDIAN HOTELS CO.,NSE
20242,5.37893864799669958100,908963.000000000000,1501180327.67000000,5181953,OBEROIRLTY,OBEROI REALTY,NSE
4668,3.27168656935805352640,7055349.600000000000,1482128531.73600000,1195009,BANKBARODA,BANK OF BARODA,NSE
17279,6.25814484924797660940,3770923.000000000000,1476483772.01000000,4423425,BLS,BLS INTL SERVS,NSE
637,4.14836558339833929950,2747362.300000000000,1476470698.15000000,163073,CHAMBLFERT,CHAMBAL FERTILIZERS,NSE
5475,5.22518310060058085400,989378.400000000000,1464194633.96000000,1401601,GRSE,GARDEN REACH SHIP&ENG,NSE
17438,4.64739806258356889410,3445006.600000000000,1422738871.67000000,4464129,OIL,OIL INDIA,NSE
20188,5.84881713835728302040,1003813.600000000000,1422265210.70000000,5168129,WABAG,VA TECH WABAG,NSE
25358,6.83280939185625214350,1696085.400000000000,1399180777.79000000,6491649,PGEL,PG ELECTROPLAST,NSE
21238,3.14655472945063827280,2278524.000000000000,1359381212.13000000,5436929,AUBANK,AU SMALL FINANCE BANK,NSE
25584,6.18135140692439435270,2258185.600000000000,1312189304.69000000,6549505,TRITURBINE,TRIVENI TURBINE,NSE
13260,6.15034460760294644660,1617220.800000000000,1291999533.44000000,3394561,KEC,KEC INTL.,NSE
8311,5.84905526979568384470,630448.600000000000,1259767285.74000000,2127617,BLUESTARCO,BLUE STAR,NSE
6994,4.94185240233575246080,2478344.600000000000,1245633209.71000000,1790465,BSOFT,BIRLASOFT,NSE
16713,3.80520377918774981140,592897.700000000000,1227395249.78000000,4278529,UBL,UNITED BREWERIES,NSE
553,7.20143633242016761370,4531559.100000000000,1211545832.77000000,141569,RELINFRA,RELIANCE INFRASTRUCTU,NSE
11184,3.28044236557804053340,19483205.800000000000,1202319736.14000000,2863105,IDFCFIRSTB,IDFC FIRST BANK,NSE
11915,3.45977742746551032300,65620946.000000000000,1191427732.97400000,3050241,YESBANK,YES BANK,NSE
8585,4.60379529112327586190,5307930.000000000000,1189733871.70500000,2197761,NLCINDIA,NLC INDIA,NSE
21951,4.93761800680788226580,12276977.400000000000,1184398258.51000000,5619457,HFCL,HFCL,NSE
31415,5.61756877685565153260,13854880.800000000000,1183375099.70000000,8042241,NBCC,NBCC (INDIA),NSE
739,4.09536690811447668220,639186.200000000000,1182540898.18500000,189185,COROMANDEL,COROMANDEL INTERNTL.,NSE
17400,3.98976456303923993360,15429515.700000000000,1177175165.32300000,4454401,NHPC,NHPC,NSE
15332,4.89421924774503780140,18679259.600000000000,1171296619.94200000,3924993,NMDC,NMDC,NSE
30125,5.91376754576685654450,8719324.000000000000,1169033092.68200000,7712001,SAMMAANCAP,SAMMAAN CAPITAL,NSE
14552,4.55535639092750286380,685520.900000000000,1145302236.03500000,3725313,PHOENIXLTD,THE PHOENIX MILLS,NSE
3405,3.29542106149675777350,1248862.800000000000,1142226887.79000000,871681,TATACHEM,TATA CHEMICALS,NSE
15259,5.73830405342315605020,27638663.900000000000,1115725601.97600000,3906305,RPOWER,RELIANCE POWER,NSE
13786,5.13524404492866927970,834727.900000000000,1113003536.18500000,3529217,TORNTPOWER,TORRENT POWER,NSE
17094,4.41323513559261585940,3244930.600000000000,1109263571.37000000,4376065,CROMPTON,CROMPT GREA CON ELEC,NSE
13611,4.06394872395770322020,1467260.400000000000,1108532729.44000000,3484417,IRCTC,INDIAN RAIL TOUR CORP,NSE
275,3.96280718085167012970,943483.700000000000,1103674560.47000000,70401,AUROPHARMA,AUROBINDO PHARMA,NSE
10217,4.32224480521797632490,1420289.900000000000,1062159673.60500000,2615553,ADANIENSOL,ADANI ENERGY SOLUTION,NSE
21770,3.34639092257156527220,596503.200000000000,1061673372.84000000,5573121,ICICIGI,ICICI LOMBARD GIC,NSE
11971,9.62500568205268836520,2333490.200000000000,1061606844.40000000,3064577,GOLDIAM,GOLDIAM INTERNATIONAL,NSE
14592,4.52933034423469596600,1667074.200000000000,1050001244.12000000,3735553,FORTIS,FORTIS HEALTHCARE,NSE
1270,3.82733677526968271240,2073526.400000000000,1034870406.41000000,325121,AMBUJACEM,AMBUJA CEMENTS,NSE
14450,5.72646397125043741990,6950418.900000000000,1000529150.17500000,3699201,EMBDL,EQUINOX INDIA DEV,NSE
11373,4.45329698829233772200,2706694.800000000000,970906960.36000000,2911489,BIOCON,BIOCON,NSE
14154,5.17646437545258577040,971383.900000000000,970670345.65500000,3623425,UNOMINDA,UNO MINDA,NSE
9683,3.77325991104885657800,705892.000000000000,964942499.98000000,2478849,KPITTECH,KPIT TECHNOLOGIES,NSE
4892,6.34049465149133931920,1800520.100000000000,960867927.86500000,1252353,SAREGAMA,SAREGAMA INDIA,NSE
3812,4.74559226368815387480,9549322.000000000000,951920099.48400000,975873,ZEEL,ZEE ENTERTAINMENT ENT,NSE
543278,6.88230218304851879590,1755443.400000000000,948241742.01500000,139079172,KALYANKJIL,KALYAN JEWELLERS INDIA,BSE
18391,4.05744689299642193250,5674543.200000000000,937304529.64800000,4708097,RBLBANK,RBL BANK,NSE
27095,5.24935896701863572830,1841277.100000000000,913632770.24500000,6936321,SWANENERGY,SWAN ENERGY,NSE
2649,5.77352895898994134170,2307090.100000000000,912649727.88500000,678145,PCBL,PCBL,NSE
2142,3.90837175445072553990,832934.100000000000,912254835.64500000,548353,MFSL,MAX FINANCIAL SERV,NSE
7508,7.29109517794772015800,589477.800000000000,893643952.37000000,1922049,ZENTEC,ZEN TECHNOLOGIES,NSE
11343,5.71590049307257384270,565577.600000000000,890953289.89500000,2903809,AFFLE,AFFLE (INDIA),NSE
11262,3.74162044991972748930,4500262.700000000000,890604043.50100000,2883073,IGL,INDRAPRASTHA GAS,NSE
1633,4.10047081599610675060,598227.900000000000,884664134.50000000,418049,IPCALAB,IPCA LABORATORIES,NSE
5748,3.44831225097052521100,600901.600000000000,877189774.23000000,1471489,CYIENT,CYIENT,NSE
15313,5.09564235521078058840,17564109.000000000000,867550590.76400000,3920129,IRB,IRB INFRA DEV,NSE
30108,5.53543612119732125700,3403838.400000000000,866685221.08000000,7707649,ABFRL,ADITYA BIRLA FASHION & RT,NSE
2294,7.91549085021621490810,16085058.700000000000,857574157.50800000,587265,MTNL,MAHANAGAR TELEPHONE NIGAM,NSE
7406,4.40789024529848679060,601526.500000000000,855624501.85000000,1895937,GLENMARK,GLENMARK PHARMACEUTICALS,NSE
4907,7.71731995369271752200,5065144.600000000000,845218978.22400000,1256193,ENGINERSIN,ENGINEERS INDIA,NSE
4421,5.97226842907868994890,813618.300000000000,843657210.57500000,1131777,CREDITACC,CREDITACCESS GRAMEEN,NSE
13147,4.61623547000425116580,764513.900000000000,831424384.58000000,3365633,PVRINOX,PVR INOX,NSE
1134,6.63904079089951164640,6685627.600000000000,825861094.82900000,290305,APOLLO,APOLLO MICRO SYSTEMS,NSE
17939,4.70684891315685525070,3548256.900000000000,824492700.52000000,4592385,HINDCOPPER,HINDUSTAN COPPER,NSE
2263,3.89642418462103922480,5760660.800000000000,813854730.30200000,579329,BANDHANBNK,BANDHAN BANK,NSE
827,5.19893253509759886070,727946.300000000000,787190893.78000000,211713,DEEPAKFERT,DEEPAK FERTILIZERS & PETR,NSE
2606,4.92522806985480001940,5502481.300000000000,781630340.13200000,667137,LEMONTREE,LEMON TREE HOTELS,NSE
1424,4.14586250002971962500,1789246.900000000000,780304111.21500000,364545,HINDZINC,HINDUSTAN ZINC,NSE
13528,3.78224363962929402220,10828462.600000000000,777080502.55000000,3463169,GMRINFRA,GMR AIRPORTS INFRA,NSE
19196,8.76892047183804024470,2500053.200000000000,755514474.26000000,4914177,TI,TILAKNAGAR INDUSTRIES,NSE
21154,9.26427207838346348190,540759.100000000000,754390929.64500000,5415425,ERIS,ERIS LIFESCIENCES,NSE
676,3.34586136048963416060,2030189.200000000000,741461972.24000000,173057,EXIDEIND,EXIDE INDUSTRIES,NSE
15068,4.64662173988244151260,3074031.000000000000,739632204.07200000,3857409,RELIGARE,RELIGARE ENTER.,NSE
628,3.78961599805031915440,5538604.300000000000,728029215.75900000,160769,CESC,CESC,NSE
14309,3.54113198817105659230,1348909.900000000000,716071107.05000000,3663105,INDIANB,INDIAN BANK,NSE
357,5.82575546430576608460,1222514.500000000000,705695557.43000000,91393,NAM-INDIA,NIPPON L I A M,NSE
18011,5.14467963523837184530,638384.000000000000,701016538.51500000,4610817,WHIRLPOOL,WHIRLPOOL OF INDIA,NSE
2043,4.00302199020850142880,777765.800000000000,695050182.88000000,523009,RAMCOCEM,THE RAMCO CEMENTS,NSE
18883,4.20333787084735574840,7611500.200000000000,693767654.22200000,4834049,SJVN,SJVN,NSE
17945,5.33615576361745547960,617639.300000000000,691829753.73000000,4593921,SUVENPHAR,SUVEN PHARMACEUTICALS,NSE
163,3.36077550054224799460,1604760.200000000000,671816401.49000000,41729,APOLLOTYRE,APOLLO TYRES,NSE
11821,5.24131896504868088560,861829.900000000000,668749773.84500000,3026177,WELCORP,WELSPUN CORP,NSE
7936,5.92842342622528744400,931335.200000000000,665857649.03000000,2031617,AVANTIFEED,AVANTI FEEDS,NSE
24948,4.66000305902002162900,4669252.600000000000,658992073.74000000,6386689,LTF,L&T FINANCE,NSE
4745,3.95305451953150194860,6309661.000000000000,641320079.25400000,1214721,BANKINDIA,BANK OF INDIA,NSE
6445,6.49640387468219564340,613176.300000000000,640782739.09000000,1649921,TECHNOE,TECHNO ELEC & ENG CO.,NSE
1997,3.88575909862121403220,1173375.200000000000,639732964.07000000,511233,LICHSGFIN,LIC HOUSING FINANCE,NSE
220,4.25423265688380815560,3735899.200000000000,637990145.92200000,56321,IEX,INDIAN ENERGY EXC,NSE
12489,5.70328255111744980220,2183232.600000000000,637817908.59000000,3197185,SWSOLAR,STRLNG & WIL REN ENE,NSE
18908,4.26569305464389385080,747866.400000000000,637376920.05500000,4840449,PNBHOUSING,PNB HOUSING FIN,NSE
17313,5.47995882458916266490,537754.100000000000,633272911.76500000,4432129,LLOYDSME,LLOYDS METALS N ENERGY L,NSE
23607,7.05364926910789788570,1015827.700000000000,631800732.67500000,6043393,BALUFORGE,BALU FORGE INDUSTRIES,NSE
404,3.21902514406836371640,1302103.400000000000,630000819.15000000,103425,BERGEPAINT,BERGER PAINTS (I),NSE
21131,4.62228636072314245740,719235.400000000000,607210602.36500000,5409537,TEJASNET,TEJAS NETWORKS,NSE
